"title" "history" "science" "research" "offers" "students" "hall" "class"
anthropology 0 0.537 0.477 0 0.673 0.177 A
art 0 0 0 0.961 0.195 0.196 B
biology 0 0.347 0.924 0 0.111 0.112 A
chemistry 0 0.975 0 0 0.155 0.158 A
communication 0 0 0 0.780 0.626 0 B
comp_sci 0 0.989 0 0 0.130 0.067 A
criminal_justic 0 0 0 0 1 0 B
Economics 0 0 1 0 0 0 A
english 0 0 0 0.980 0 0.199 B
geography 0 0.849 0 0 0.528 0 A
history 0.991 0 0 0.135 0 0 B
mathematics 0 0.616 0.549 0.490 0.198 0.201 A
modern_lang 0 0 0 0.928 0 0.373 B
music 0.970 0 0 0 0.170 0.172 B
philosophy 0.741 0 0 0.658 0 0.136 B
physics 0 0 0.894 0 0.315 0.318 A
political_sci 0 0.933 0.348 0 0.062 0.063 A
psychology 0 0 0.852 0.387 0.313 0.162 A
sociology 0 0 0.639 0.570 0.459 0.237 A
